2017-07-13 18:43:05,330 - MyLogger - INFO - edges: 198610
2017-07-13 18:43:05,427 - MyLogger - INFO - sparse matrix is done
2017-07-13 18:43:57,845 - MyLogger - DEBUG - total: 66430852
2017-07-13 18:43:57,845 - MyLogger - INFO - 66430852
2017-07-13 18:43:58,959 - MyLogger - INFO - [(0, 509), (509, 1023), (1023, 1589), (1589, 2132), (2132, 2686), (2686, 3262), (3262, 3866), (3866, 4508), (4508, 5165), (5165, 5869), (5869, 6564), (6564, 7262), (7262, 7998), (7998, 8760), (8760, 9570), (9570, 10326)]
2017-07-13 18:43:58,959 - MyLogger - INFO - shape: 10326
2017-07-13 18:49:55,786 - MyLogger - DEBUG - Proc 12, completed 5000 in 78.91173052787781 sec. Speed: 12
2017-07-13 18:49:57,335 - MyLogger - DEBUG - Proc 0, completed 30000 in 17.80517029762268 sec. Speed: 56
2017-07-13 18:49:57,545 - MyLogger - DEBUG - Proc 1, completed 26000 in 26.26847815513611 sec. Speed: 38
2017-07-13 18:49:57,670 - MyLogger - DEBUG - Proc 3, completed 12000 in 36.15045762062073 sec. Speed: 27
2017-07-13 18:50:02,555 - MyLogger - DEBUG - Proc 9, completed 6000 in 56.83865928649902 sec. Speed: 17
2017-07-13 18:50:05,498 - MyLogger - DEBUG - Proc 5, completed 8000 in 42.73667860031128 sec. Speed: 23
2017-07-13 18:50:07,595 - MyLogger - DEBUG - Proc 0, completed 31000 in 10.259622573852539 sec. Speed: 97
2017-07-13 18:50:08,660 - MyLogger - DEBUG - Proc 11, completed 5000 in 77.82746291160583 sec. Speed: 12
2017-07-13 18:50:09,482 - MyLogger - DEBUG - Proc 2, completed 18000 in 34.74423289299011 sec. Speed: 28
2017-07-13 18:50:24,014 - MyLogger - DEBUG - Proc 0, completed 32000 in 16.41743278503418 sec. Speed: 60
2017-07-13 18:50:25,797 - MyLogger - DEBUG - Proc 4, completed 11000 in 45.96161913871765 sec. Speed: 21
2017-07-13 18:50:26,594 - MyLogger - DEBUG - Proc 1, completed 27000 in 29.047454833984375 sec. Speed: 34
